Campaign_ID,Target_Audience,Campaign_Goal,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Company
793457,Women 45-60,Market Expansion,15 Days,Facebook,0.14,$500.00,5.8,Los Angeles,English,506,3017,1,Technology,2022-10-24,Tech Titans
470283,Men 35-44,Increase Sales,15 Days,Instagram,0.08,$500.00,5.39,Los Angeles,English,506,3019,9,Technology,2022-01-11,Giga Geeks
854343,Men 45-60,Increase Sales,15 Days,Facebook,0.13,$500.00,5.37,Los Angeles,English,513,3040,6,Technology,2022-03-11,Silicon Saga
616108,All Ages,Increase Sales,15 Days,Twitter,0.02,$500.00,1.48,Los Angeles,English,518,3053,10,Technology,2022-02-26,Code Crafters
683515,Men 35-44,Brand Awareness,15 Days,Facebook,0.04,$500.00,6.28,Los Angeles,English,521,3062,9,Technology,2022-01-05,Cyber Circuit
947237,Men 25-34,Brand Awareness,15 Days,Instagram,0.14,$500.00,3.02,Los Angeles,English,527,3080,9,Technology,2022-02-22,Gadget Giants
432631,Men 35-44,Market Expansion,15 Days,Pinterest,0.1,$500.00,0.577353661654425,Los Angeles,English,313,2002,1,Technology,2022-05-07,Pixel Pioneers
796819,Men 35-44,Product Launch,15 Days,Twitter,0.08,$500.00,7.12,Los Angeles,English,540,3121,9,Technology,2022-12-13,Quantum Quirks
593515,Men 45-60,Increase Sales,15 Days,Twitter,0.01,$500.00,0.0,Los Angeles,English,544,3131,5,Technology,2022-12-03,NexGen Nerds
693150,Women 45-60,Product Launch,15 Days,Pinterest,0.07,$500.00,1.2011816118630765,Los Angeles,English,327,2049,1,Technology,2022-08-24,Giga Geeks
123671,Men 35-44,Product Launch,15 Days,Pinterest,0.05,$500.00,0.8097251044255559,Los Angeles,English,329,2055,1,Technology,2022-06-10,Innovate Infinity
456686,Men 25-34,Market Expansion,15 Days,Instagram,0.1,$500.00,4.45,Los Angeles,English,586,3256,1,Technology,2022-01-15,NexGen Nerds
711039,Women 35-44,Product Launch,15 Days,Facebook,0.09,$500.00,7.46,Los Angeles,English,611,3329,4,Technology,2022-07-05,Quantum Quirks
636292,All Ages,Market Expansion,15 Days,Instagram,0.13,$500.00,4.58,Los Angeles,English,623,3365,1,Technology,2022-11-21,Innovate Infinity
885611,All Ages,Brand Awareness,15 Days,Instagram,0.05,$500.00,2.46,Los Angeles,English,624,3368,9,Technology,2022-01-21,Innovate Infinity
525993,Men 45-60,Increase Sales,15 Days,Instagram,0.06,$500.00,3.02,Los Angeles,English,635,3401,6,Technology,2022-09-09,Cyber Circuit
820036,Women 18-24,Brand Awareness,15 Days,Pinterest,0.13,$500.00,0.6560024576692693,Los Angeles,English,384,2233,1,Technology,2022-05-03,Innovate Infinity
343758,Women 45-60,Brand Awareness,15 Days,Instagram,0.02,$500.00,4.5,Los Angeles,English,656,3464,9,Technology,2022-10-31,Pixel Pioneers
908179,Women 35-44,Product Launch,15 Days,Twitter,0.04,$500.00,5.01,Los Angeles,English,673,3512,8,Technology,2022-03-31,Silicon Saga
568295,All Ages,Brand Awareness,15 Days,Pinterest,0.07,$500.00,0.7006892735867944,Los Angeles,English,395,2270,1,Technology,2022-03-07,Giga Geeks
379123,Women 35-44,Product Launch,15 Days,Twitter,0.1,$500.00,6.43,Los Angeles,English,684,3546,5,Technology,2022-05-29,Tech Titans
722458,Women 45-60,Increase Sales,15 Days,Instagram,0.07,$500.00,6.91,Los Angeles,English,694,3576,4,Technology,2022-06-19,Innovate Infinity
913526,Men 45-60,Market Expansion,15 Days,Twitter,0.07,$500.00,6.77,Los Angeles,English,697,3586,6,Technology,2022-06-01,Innovate Infinity
862702,Men 45-60,Market Expansion,15 Days,Twitter,0.13,$500.00,7.88,Los Angeles,English,700,3593,1,Technology,2022-12-02,Code Crafters
574531,Men 18-24,Market Expansion,15 Days,Pinterest,0.06,$500.00,0.0929485771084523,Los Angeles,English,412,2324,1,Technology,2022-04-10,Silicon Saga
